Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
11.10.2017,Atelier 3,3,M1,13:45,14:02,15:06,15:18,16:23,16:30,2D,ES,16,00:19,17:00,2D,ES
11.10.2017,Atelier 6,6,M1,13:45,13:54,14:56,15:08,16:39,16:50,2D,BLADE RUNNER 2049,14,00:29,17:30,3D,"THE LEGO NINJAGO MOVIE "
11.10.2017,Atelier 5,5,N1,14:00,14:14,15:16,15:28,16:07,16:15,3D,"CARS 3 - EVOLUTION ",6,00:19,16:45,3D,"BLADE RUNNER 2049 "
11.10.2017,Atelier 8,8,N1,14:00,14:16,14:57,15:10,16:15,16:24,2D,BARRY SEAL: ONLY IN AMERICA,12,00:25,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
11.10.2017,Atelier 4,4,N1,14:30,14:41,15:24,15:36,16:25,16:34,2D,MY LITTLE PONY - DER FILM,4,00:45,17:30,2D,MY LITTLE PONY - DER FILM
11.10.2017,Atelier 7,7,N1,14:30,14:46,15:29,15:42,16:30,16:40,3D,"THE LEGO NINJAGO MOVIE ",6,00:24,17:15,2D,BLADE RUNNER 2049
11.10.2017,Atelier 1,1,N1,14:30,14:43,15:35,15:48,16:18,16:27,3D,"EMOJI: DER FILM ",6,00:07,16:45,3D,"BIGFOOT JUNIOR "
11.10.2017,Atelier 1,1,N1,16:45,16:59,17:38,17:50,18:39,18:44,3D,"BIGFOOT JUNIOR ",6,01:35,20:30,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN
11.10.2017,Atelier 5,5,N1,16:45,16:55,17:57,18:10,19:41,19:52,3D,"BLADE RUNNER 2049 ",14,00:27,20:30,2D,KINGSMAN: THE GOLDEN CIRCLE
11.10.2017,Atelier 8,8,N2,17:00,17:12,18:14,18:26,19:39,19:46,2D,KINGSMAN: THE GOLDEN CIRCLE,16,00:48,20:45,2D,ANNABELLE 2
11.10.2017,Atelier 3,3,N2,17:00,17:17,18:21,18:33,19:38,19:44,2D,ES,16,00:20,20:15,2D,ES
11.10.2017,Atelier 2,2,N2,17:15,17:29,18:31,18:44,19:22,19:30,3D,"CARS 3 - EVOLUTION ",6,00:19,20:00,3D,"BLADE RUNNER 2049 "
11.10.2017,Atelier 7,7,N2,17:15,17:24,18:26,18:38,20:09,20:20,2D,BLADE RUNNER 2049,14,00:29,21:00,2D,BARRY SEAL: ONLY IN AMERICA
11.10.2017,Atelier 6,6,N2,17:30,17:46,18:29,18:42,19:30,19:40,3D,"THE LEGO NINJAGO MOVIE ",6,00:24,20:15,2D,BLADE RUNNER 2049
11.10.2017,Atelier 4,4,N2,17:30,17:41,18:24,18:36,19:25,19:34,2D,MY LITTLE PONY - DER FILM,4,00:15,20:00,2D,KILLER'S BODYGUARD
11.10.2017,Atelier 2,2,HV,20:00,20:14,21:16,21:29,23:00,23:11,3D,"BLADE RUNNER 2049 ",14,,,,
11.10.2017,Atelier 4,4,HV,20:00,20:14,20:51,21:03,22:18,22:25,2D,KILLER'S BODYGUARD,16,,,,
11.10.2017,Atelier 6,6,HV,20:15,20:28,21:30,21:42,23:13,23:24,2D,BLADE RUNNER 2049,14,,,,
11.10.2017,Atelier 3,3,HV,20:15,20:35,21:39,21:51,22:56,23:02,2D,ES,16,,,,
11.10.2017,Atelier 5,5,HV,20:30,20:46,21:48,22:00,23:13,23:19,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
11.10.2017,Atelier 1,1,HV,20:30,20:46,21:29,21:41,22:31,22:39,2D,HIGH SOCIETY - GEGENSÄTZE ZIEHEN SICH AN,12,,,,
11.10.2017,Atelier 8,8,HV,20:45,21:01,21:42,21:54,22:56,23:03,2D,ANNABELLE 2,16,,,,
11.10.2017,Atelier 7,7,HV,21:00,21:19,22:00,22:12,23:17,23:26,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,

